CITY,DATE,TEMPERATURE
Atlanta,1961-01-01,6.3894
Atlanta,1961-01-02,1.6667999999999998
Atlanta,1961-01-03,1.1112
Atlanta,1961-01-04,3.8891999999999998
Atlanta,1961-01-05,4.4448
Atlanta,1961-01-06,6.3894
Atlanta,1961-01-07,6.667199999999999
Atlanta,1961-01-08,4.7226
Atlanta,1961-01-09,2.778
Atlanta,1961-01-10,3.6113999999999997
Atlanta,1961-01-11,6.944999999999999
Atlanta,1961-01-12,8.8896
Atlanta,1961-01-13,9.167399999999999
Atlanta,1961-01-14,8.0562
Atlanta,1961-01-15,9.167399999999999
Atlanta,1961-01-16,6.1116
Atlanta,1961-01-17,6.944999999999999
Atlanta,1961-01-18,8.334
Atlanta,1961-01-19,5.2782
Atlanta,1961-01-20,-0.5556
Atlanta,1961-01-21,-4.4448
Atlanta,1961-01-22,-4.4448
Atlanta,1961-01-23,6.3894
Atlanta,1961-01-24,6.3894
Atlanta,1961-01-25,-1.6667999999999998
Atlanta,1961-01-26,-1.9445999999999999
Atlanta,1961-01-27,-3.3335999999999997
Atlanta,1961-01-28,-4.7226
Atlanta,1961-01-29,0.8333999999999999
Atlanta,1961-01-30,3.3335999999999997
Atlanta,1961-01-31,5.556
Atlanta,1961-02-01,8.334
Atlanta,1961-02-02,5.2782
Atlanta,1961-02-03,-0.5556
Atlanta,1961-02-04,1.6667999999999998
Atlanta,1961-02-05,3.6113999999999997
Atlanta,1961-02-06,1.9445999999999999
Atlanta,1961-02-07,1.6667999999999998
Atlanta,1961-02-08,2.5002
Atlanta,1961-02-09,3.8891999999999998
Atlanta,1961-02-10,4.7226
Atlanta,1961-02-11,8.334
Atlanta,1961-02-12,14.1678
Atlanta,1961-02-13,13.6122
Atlanta,1961-02-14,16.1124
Atlanta,1961-02-15,17.2236
Atlanta,1961-02-16,16.1124
Atlanta,1961-02-17,15.001199999999999
Atlanta,1961-02-18,14.1678
Atlanta,1961-02-19,13.889999999999999
Atlanta,1961-02-20,13.889999999999999
Atlanta,1961-02-21,8.334
Atlanta,1961-02-22,11.112
Atlanta,1961-02-23,16.9458
Atlanta,1961-02-24,13.0566
Atlanta,1961-02-25,10.0008
Atlanta,1961-02-26,9.167399999999999
Atlanta,1961-02-27,11.6676
Atlanta,1961-02-28,15.8346
Atlanta,1961-03-01,9.722999999999999
Atlanta,1961-03-02,8.6118
Atlanta,1961-03-03,12.2232
Atlanta,1961-03-04,18.6126
Atlanta,1961-03-05,19.7238
Atlanta,1961-03-06,18.6126
Atlanta,1961-03-07,21.3906
Atlanta,1961-03-08,13.334399999999999
Atlanta,1961-03-09,4.4448
Atlanta,1961-03-10,7.222799999999999
Atlanta,1961-03-11,9.722999999999999
Atlanta,1961-03-12,14.1678
Atlanta,1961-03-13,12.7788
Atlanta,1961-03-14,11.3898
Atlanta,1961-03-15,12.501
Atlanta,1961-03-16,14.1678
Atlanta,1961-03-17,11.112
Atlanta,1961-03-18,6.3894
Atlanta,1961-03-19,10.5564
Atlanta,1961-03-20,11.9454
Atlanta,1961-03-21,10.278599999999999
Atlanta,1961-03-22,10.8342
Atlanta,1961-03-23,11.112
Atlanta,1961-03-24,7.222799999999999
Atlanta,1961-03-25,10.5564
Atlanta,1961-03-26,14.7234
Atlanta,1961-03-27,15.001199999999999
Atlanta,1961-03-28,15.8346
Atlanta,1961-03-29,16.3902
Atlanta,1961-03-30,14.1678
Atlanta,1961-03-31,15.279
Atlanta,1961-04-01,9.4452
Atlanta,1961-04-02,10.0008
Atlanta,1961-04-03,9.4452
Atlanta,1961-04-04,8.334
Atlanta,1961-04-05,13.0566
Atlanta,1961-04-06,11.6676
Atlanta,1961-04-07,10.0008
Atlanta,1961-04-08,9.167399999999999
Atlanta,1961-04-09,13.334399999999999
Atlanta,1961-04-10,8.334
Atlanta,1961-04-11,10.278599999999999
Atlanta,1961-04-12,14.1678
Atlanta,1961-04-13,11.3898
Atlanta,1961-04-14,12.7788
Atlanta,1961-04-15,16.3902
Atlanta,1961-04-16,9.167399999999999
Atlanta,1961-04-17,11.3898
Atlanta,1961-04-18,10.5564
Atlanta,1961-04-19,12.501
Atlanta,1961-04-20,14.445599999999999
Atlanta,1961-04-21,15.8346
Atlanta,1961-04-22,19.1682
Atlanta,1961-04-23,20.835
Atlanta,1961-04-24,21.3906
Atlanta,1961-04-25,21.6684
Atlanta,1961-04-26,21.1128
Atlanta,1961-04-27,14.445599999999999
Atlanta,1961-04-28,17.2236
Atlanta,1961-04-29,12.501
Atlanta,1961-04-30,15.8346
Atlanta,1961-05-01,16.3902
Atlanta,1961-05-02,14.445599999999999
Atlanta,1961-05-03,15.001199999999999
Atlanta,1961-05-04,17.7792
Atlanta,1961-05-05,17.5014
Atlanta,1961-05-06,19.7238
Atlanta,1961-05-07,22.7796
Atlanta,1961-05-08,21.3906
Atlanta,1961-05-09,16.3902
Atlanta,1961-05-10,13.889999999999999
Atlanta,1961-05-11,14.445599999999999
Atlanta,1961-05-12,16.1124
Atlanta,1961-05-13,18.6126
Atlanta,1961-05-14,21.6684
Atlanta,1961-05-15,22.224
Atlanta,1961-05-16,19.1682
Atlanta,1961-05-17,19.445999999999998
Atlanta,1961-05-18,20.2794
Atlanta,1961-05-19,21.9462
Atlanta,1961-05-20,21.6684
Atlanta,1961-05-21,22.7796
Atlanta,1961-05-22,20.2794
Atlanta,1961-05-23,16.9458
Atlanta,1961-05-24,17.5014
Atlanta,1961-05-25,19.7238
Atlanta,1961-05-26,15.8346
Atlanta,1961-05-27,11.6676
Atlanta,1961-05-28,14.445599999999999
Atlanta,1961-05-29,19.1682
Atlanta,1961-05-30,20.557199999999998
Atlanta,1961-05-31,21.1128
Atlanta,1961-06-01,23.613
Atlanta,1961-06-02,23.057399999999998
Atlanta,1961-06-03,23.613
Atlanta,1961-06-04,24.168599999999998
Atlanta,1961-06-05,25.279799999999998
Atlanta,1961-06-06,24.168599999999998
Atlanta,1961-06-07,23.613
Atlanta,1961-06-08,25.002
Atlanta,1961-06-09,23.8908
Atlanta,1961-06-10,25.279799999999998
Atlanta,1961-06-11,25.279799999999998
Atlanta,1961-06-12,25.279799999999998
Atlanta,1961-06-13,25.279799999999998
Atlanta,1961-06-14,25.279799999999998
Atlanta,1961-06-15,24.4464
Atlanta,1961-06-16,17.5014
Atlanta,1961-06-17,15.8346
Atlanta,1961-06-18,19.1682
Atlanta,1961-06-19,20.0016
Atlanta,1961-06-20,18.6126
Atlanta,1961-06-21,22.224
Atlanta,1961-06-22,22.224
Atlanta,1961-06-23,21.9462
Atlanta,1961-06-24,22.5018
Atlanta,1961-06-25,21.6684
Atlanta,1961-06-26,19.7238
Atlanta,1961-06-27,21.6684
Atlanta,1961-06-28,21.6684
Atlanta,1961-06-29,23.057399999999998
Atlanta,1961-06-30,23.3352
Atlanta,1961-07-01,24.7242
Atlanta,1961-07-02,24.4464
Atlanta,1961-07-03,24.4464
Atlanta,1961-07-04,23.613
Atlanta,1961-07-05,23.8908
Atlanta,1961-07-06,25.279799999999998
Atlanta,1961-07-07,24.7242
Atlanta,1961-07-08,24.168599999999998
Atlanta,1961-07-09,23.8908
Atlanta,1961-07-10,22.224
Atlanta,1961-07-11,19.7238
Atlanta,1961-07-12,22.5018
Atlanta,1961-07-13,23.3352
Atlanta,1961-07-14,23.613
Atlanta,1961-07-15,25.002
Atlanta,1961-07-16,25.002
Atlanta,1961-07-17,24.7242
Atlanta,1961-07-18,23.3352
Atlanta,1961-07-19,24.7242
Atlanta,1961-07-20,24.7242
Atlanta,1961-07-21,24.7242
Atlanta,1961-07-22,25.8354
Atlanta,1961-07-23,25.5576
Atlanta,1961-07-24,25.279799999999998
Atlanta,1961-07-25,25.5576
Atlanta,1961-07-26,25.8354
Atlanta,1961-07-27,25.5576
Atlanta,1961-07-28,26.391
Atlanta,1961-07-29,26.1132
Atlanta,1961-07-30,26.9466
Atlanta,1961-07-31,27.2244
Atlanta,1961-08-01,27.2244
Atlanta,1961-08-02,27.5022
Atlanta,1961-08-03,27.5022
Atlanta,1961-08-04,25.8354
Atlanta,1961-08-05,24.7242
Atlanta,1961-08-06,21.9462
Atlanta,1961-08-07,22.7796
Atlanta,1961-08-08,24.168599999999998
Atlanta,1961-08-09,23.8908
Atlanta,1961-08-10,25.279799999999998
Atlanta,1961-08-11,26.1132
Atlanta,1961-08-12,26.9466
Atlanta,1961-08-13,25.8354
Atlanta,1961-08-14,23.8908
Atlanta,1961-08-15,21.6684
Atlanta,1961-08-16,22.7796
Atlanta,1961-08-17,23.8908
Atlanta,1961-08-18,23.3352
Atlanta,1961-08-19,23.3352
Atlanta,1961-08-20,23.057399999999998
Atlanta,1961-08-21,22.7796
Atlanta,1961-08-22,21.9462
Atlanta,1961-08-23,21.9462
Atlanta,1961-08-24,20.0016
Atlanta,1961-08-25,21.6684
Atlanta,1961-08-26,24.168599999999998
Atlanta,1961-08-27,24.4464
Atlanta,1961-08-28,25.002
Atlanta,1961-08-29,26.391
Atlanta,1961-08-30,25.5576
Atlanta,1961-08-31,24.7242
Atlanta,1961-09-01,25.5576
Atlanta,1961-09-02,24.7242
Atlanta,1961-09-03,25.8354
Atlanta,1961-09-04,26.391
Atlanta,1961-09-05,25.8354
Atlanta,1961-09-06,24.7242
Atlanta,1961-09-07,25.5576
Atlanta,1961-09-08,24.4464
Atlanta,1961-09-09,24.4464
Atlanta,1961-09-10,24.168599999999998
Atlanta,1961-09-11,24.4464
Atlanta,1961-09-12,24.7242
Atlanta,1961-09-13,24.168599999999998
Atlanta,1961-09-14,21.1128
Atlanta,1961-09-15,17.2236
Atlanta,1961-09-16,15.8346
Atlanta,1961-09-17,16.1124
Atlanta,1961-09-18,17.2236
Atlanta,1961-09-19,18.334799999999998
Atlanta,1961-09-20,21.3906
Atlanta,1961-09-21,21.1128
Atlanta,1961-09-22,24.168599999999998
Atlanta,1961-09-23,25.5576
Atlanta,1961-09-24,25.5576
Atlanta,1961-09-25,25.5576
Atlanta,1961-09-26,23.613
Atlanta,1961-09-27,23.057399999999998
Atlanta,1961-09-28,21.3906
Atlanta,1961-09-29,20.2794
Atlanta,1961-09-30,20.835
Atlanta,1961-10-01,20.557199999999998
Atlanta,1961-10-02,21.3906
Atlanta,1961-10-03,13.889999999999999
Atlanta,1961-10-04,14.445599999999999
Atlanta,1961-10-05,14.445599999999999
Atlanta,1961-10-06,14.7234
Atlanta,1961-10-07,14.7234
Atlanta,1961-10-08,16.9458
Atlanta,1961-10-09,18.6126
Atlanta,1961-10-10,20.0016
Atlanta,1961-10-11,19.7238
Atlanta,1961-10-12,20.557199999999998
Atlanta,1961-10-13,19.445999999999998
Atlanta,1961-10-14,15.279
Atlanta,1961-10-15,11.112
Atlanta,1961-10-16,14.7234
Atlanta,1961-10-17,17.5014
Atlanta,1961-10-18,17.5014
Atlanta,1961-10-19,16.1124
Atlanta,1961-10-20,6.1116
Atlanta,1961-10-21,14.445599999999999
Atlanta,1961-10-22,14.445599999999999
Atlanta,1961-10-23,15.556799999999999
